epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,345.963,0.95333,3.26857,1.2581,0.00876,0.9693,0.29441,0.21208,0.8069,3.30325,1.11489,0.000249588,0.000249588,0.000249588
2,641.609,1.02078,2.23067,1.29162,0.43024,0.57047,0.47955,0.35837,0.97137,2.49471,1.31581,0.000480878,0.000480878,0.000480878
3,933.484,0.95519,1.82945,1.23796,0.43144,0.72972,0.53025,0.37617,0.99432,2.33866,1.34519,0.000686791,0.000686791,0.000686791
4,1238.8,0.92964,1.64804,1.20487,0.53987,0.72033,0.66967,0.51443,0.91011,1.8269,1.25057,0.000654804,0.000654804,0.000654804
5,1554.44,0.88324,1.51923,1.16603,0.74593,0.61392,0.7442,0.56158,0.90205,1.77391,1.23049,0.000616738,0.000616738,0.000616738
6,1857.76,0.86311,1.37784,1.15977,0.71513,0.75788,0.78372,0.5771,0.90908,1.51177,1.23261,0.000578672,0.000578672,0.000578672
7,2151.75,0.88241,1.29334,1.1757,0.68102,0.7333,0.79625,0.60192,0.88216,1.53578,1.20511,0.000540607,0.000540607,0.000540607
8,2444.14,0.85072,1.23492,1.14303,0.81593,0.65261,0.79473,0.60974,0.84915,1.41375,1.15932,0.000502541,0.000502541,0.000502541
9,2731.97,0.8154,1.15882,1.11886,0.7895,0.8402,0.85559,0.65429,0.8505,1.28713,1.18018,0.000464476,0.000464476,0.000464476
10,3020.2,0.805,1.07929,1.12307,0.84003,0.81532,0.88512,0.68612,0.84267,1.14114,1.15913,0.000426411,0.000426411,0.000426411
11,3299.6,0.71091,1.13984,1.06511,0.78754,0.90042,0.87973,0.6785,0.87649,1.22022,1.19652,0.000388345,0.000388345,0.000388345
12,3584.21,0.67118,1.02888,1.04876,0.84408,0.84762,0.86329,0.66746,0.85572,1.16982,1.17381,0.00035028,0.00035028,0.00035028
13,3879.31,0.64462,0.96146,1.03406,0.85398,0.85777,0.84308,0.66355,0.82724,1.23271,1.17205,0.000312214,0.000312214,0.000312214
14,4166.87,0.63259,0.898,1.01301,0.88029,0.8772,0.89376,0.7026,0.84232,1.00599,1.17935,0.000274148,0.000274148,0.000274148
15,4454.38,0.6187,0.853,1.00582,0.88064,0.84084,0.88337,0.6948,0.82955,1.07501,1.15206,0.000236083,0.000236083,0.000236083
16,4744.59,0.57616,0.7917,0.97789,0.87551,0.89474,0.86728,0.67664,0.81937,1.05543,1.16088,0.000198018,0.000198018,0.000198018
17,5042.72,0.56048,0.76516,0.97258,0.87537,0.8823,0.87828,0.69124,0.81528,1.03376,1.15255,0.000159952,0.000159952,0.000159952
18,5327.55,0.56022,0.74537,0.96039,0.88818,0.88468,0.8856,0.69619,0.80285,0.9846,1.14123,0.000121887,0.000121887,0.000121887
19,5606.79,0.53531,0.71254,0.95756,0.87391,0.88568,0.87927,0.68965,0.80708,1.00487,1.13975,8.3821e-05,8.3821e-05,8.3821e-05
20,5903.14,0.50983,0.68846,0.93703,0.89294,0.89044,0.88464,0.69739,0.79627,0.96606,1.13759,4.57555e-05,4.57555e-05,4.57555e-05
